Operation Operand   Result
Add        48883     1
Add        23476     2
Add        29798     3
Add        1570      4
Add        25730     5
Add        1651      6
Add        45053     7
Add        43933     8
Add        43927     9
Add        16120     10
Add        42972     11
Add        23255     12
Add        34315     13
Add        2984      14
Add        5703      15
Add        49957     16
Add        5445      17
Add        28837     18
Add        32873     19
Add        44187     20
Add        49359     21
Add        25605     22
Add        43568     23
Add        29274     24
Add        40662     25
Add        38587     26
Add        12350     27
Add        24708     28
Add        48036     29
Add        3751      30
Add        1227      31
Add        49133     32
Add        23257     33
Add        2883      34
Add        4795      35
Add        26814     36
Add        15553     37
Add        8951      38
Add        39158     39
Add        42759     40
Add        957       41
Add        16116     42
Add        38626     43
Add        43794     44
Add        25179     45
Add        32714     46
Add        17316     47
Add        13657     48
Add        12937     49
Add        37592     50
Add        36093     51
Add        45136     52
Add        24266     53
Add        4257      54
Add        15892     55
Add        11863     56
Add        36378     57
Add        27995     58
Add        16908     59
Add        12050     60
Add        29293     61
Add        12317     62
Add        45425     63
Add        38977     64
Add        44261     65
Add        14539     66
Add        48938     67
Add        39405     68
Add        8599      69
Add        26500     70
Add        9994      71
Add        7364      72
Add        40891     73
Add        36328     74
Add        28103     75
Add        3734      76
Add        36788     77
Add        2229      78
Add        27485     79
Add        19161     80
Add        22445     81
Add        46283     82
Add        30103     83
Add        28321     84
Add        24685     85
Add        48124     86
Add        33833     87
Add        13104     88
Add        45318     89
Add        48675     90
Add        12656     91
Add        19580     92
Add        45429     93
Add        27365     94
Add        3608      95
Add        1506      96
Add        15447     97
Add        23252     98
Add        12306     99
Add        46445     100
Add        21024     101
Add        19137     102
Add        19967     103
Add        27276     104
Add        49885     105
Add        35421     106
Add        9481      107
Add        30773     108
Add        49872     109
Add        9748      110
Add        18373     111
Add        39446     112
Add        21713     113
Add        14438     114
Add        27581     115
Add        16643     116
Add        183       117
Add        29178     118
Add        41431     119
Add        7497      120
Add        45828     121
Add        49502     122
Add        20781     123
Add        37585     124
Add        37226     125
Add        10644     126
Add        14623     127
Add        46921     128
Add        28066     129
Add        20006     130
Add        23725     131
Add        22789     132
Add        19412     133
Add        43417     134
Add        45174     135
Add        32312     136
Add        15753     137
Add        41914     138
Add        42141     139
Add        49217     140
Add        1378      141
Add        39701     142
Add        14548     143
Add        24256     144
Add        32725     145
Add        39320     146
Add        11305     147
Add        7372      148
Add        46516     149
Add        39504     150
Add        3382      151
Add        5801      152
Add        25571     153
Add        20520     154
Add        36387     155
Add        41447     156
Add        6206      157
Add        41221     158
Add        23467     159
Add        2095      160
Add        15809     161
Add        39832     162
Add        6493      163
Add        14990     164
Add        16262     165
Add        25470     166
Add        44638     167
Add        41518     168
Add        42363     169
Add        11999     170
Add        37771     171
Add        42565     172
Add        6959      173
Add        46250     174
Add        19246     175
Add        47818     176
Add        37966     177
Add        39502     178
Add        43400     179
Add        23545     180
Add        20348     181
Add        36504     182
Add        5751      183
Add        21625     184
Add        11496     185
Add        19333     186
Add        9922      187
Add        11580     188
Add        36627     189
Add        34014     190
Add        22822     191
Add        46854     192
Add        25189     193
Add        11139     194
Contains   75        194
Add        26710     195
Contains   151       195
Add        34619     196
Add        49112     197
Add        31752     198
Add        12302     199
Add        26768     200
Contains   1         200
Contains   3608      201
Add        19571     202
Add        26855     203
Add        32630     204
Contains   95        204
Add        23188     205
Remove     43400     206
Add        24096     207
Add        42260     208
Add        8103      209
Add        25824     210
Add        713       211
Add        48171     212
Add        10991     213
Add        44247     214
Add        25771     215
Contains   9994      216
Remove     34619     217
Add        44183     218
Add        37470     219
Add        3048      220
Add        23966     221
Add        15162     222
Remove     36627     223
Add        5485      224
Add        10001     225
Contains   42972     226
Add        23138     227
Add        10166     228
Contains   38626     229
Add        12600     230
Contains   99        230
Add        3950      231
Add        35641     232
Contains   20348     233
Add        38793     234
Add        12823     235
Contains   20348     236
Add        37978     237
Add        12942     238
Add        38109     239
Add        20844     240
Add        48872     241
Add        4788      242
Add        40783     243
Add        6656      244
Add        16405     245
Add        42179     246
Add        11220     247
Add        45542     248
Contains   1506      249
Add        38079     250
Add        38186     251
Add        22788     252
Contains   107       252
Add        9348      253
Add        7084      254
Add        32458     255
Add        22873     256
Add        19394     257
Add        47958     258
Contains   23966     259
Add        23240     260
Add        5541      261
Contains   245       261
Add        24099     262
Add        1139      263
Add        15787     264
Add        20934     265
Add        18871     266
Add        1846      267
Add        16131     268
Contains   254       268
Add        9236      269
Add        23538     270
Contains   27581     271
Contains   11220     272
Add        23172     273
Contains   1378      274
Add        23576     275
Add        25625     276
Add        37228     277
Add        16433     278
Contains   32630     279
Contains   193       279
Add        22575     280
Add        38616     281
Add        6115      282
Add        2218      283
Add        21793     284
Add        40767     285
Add        21589     286
Add        5770      287
Add        33270     288
Add        25406     289
Add        9613      290
Contains   11220     291
Contains   54        291
Contains   5         291
Add        32292     292
Add        369       293
Contains   189       293
Add        5648      294
Add        38831     295
Add        9375      296
Add        27745     297
Add        12996     298
Add        31066     299
Add        49767     300
Add        10190     301
Add        7950      302
Add        18860     303
Contains   48124     304
Add        32302     305
Add        40428     306
Contains   29798     307
Add        5159      308
Add        27800     309
Add        37718     310
Add        36988     311
Add        47595     312
Add        5605      313
Add        45163     314
Add        35799     315
Contains   245       315
Add        702       316
Add        548       317
Add        39230     318
Remove     12600     319
Contains   39158     320
Add        19706     321
Add        15653     322
Add        23019     323
Add        19098     324
Add        4386      325
Add        30642     326
Add        49724     327
Add        300       328
Add        27209     329
Contains   245       329
Add        35366     330
Contains   30103     331
Add        45580     332
Remove     19098     333
Add        29077     334
Add        29798     334
Contains   161       334
Add        17967     335
Add        39837     336
Add        42922     337
Add        13651     338
Contains   48036     339
Add        44555     340
Add        9210      341
Add        46215     342
Add        297       343
Add        7643      344
Contains   28066     345
Add        25295     346
Add        45336     347
Remove     10166     348
Add        3201      349
Contains   37585     350
Add        45561     351
Add        45848     352
Add        7581      353
Add        12158     354
Add        42452     355
Add        41554     356
Add        31261     357
Add        46941     358
Contains   156       358
Add        42989     359
Remove     24685     360
Add        35468     361
Contains   22445     362
Contains   26814     363
Add        49045     364
Add        26873     365
Contains   28837     366
Add        26705     367
Add        45833     368
Add        5236      369
Add        32791     370
Add        9225      371
Add        41172     372
Add        40125     373
Add        49638     374
Add        30761     375
Add        34438     376
Add        37037     377
Add        11531     378
Add        16169     379
Remove     6206      380
Contains   21713     381
Add        47050     382
Add        5864      383
Contains   287       383
Add        34769     384
Add        30156     385
Add        30605     386
Add        33808     387
Add        36689     388
Add        47        389
Contains   29        389
Add        6201      390
Contains   23255     391
Add        37521     392
Add        11602     393
Add        33661     394
Add        31835     395
Add        2982      396
Add        23261     397
Add        10097     398
Add        4859      399
Add        20894     400
Add        39342     401
Add        49776     402
Add        29743     403
Add        32764     404
Contains   353       404
Add        45302     405
Add        6945      406
Add        23288     407
Contains   154       407
Add        45621     408
Add        31849     409
Add        15826     410
Contains   40891     411
Contains   33270     412
Add        26990     413
Add        44781     414
Add        37663     415
Contains   225       415
Add        42660     416
Add        9401      417
Contains   339       417
Contains   41431     418
Add        5613      419
Add        16058     420
Contains   320       420
Add        27229     421
Contains   129       421
Add        24469     422
Add        7801      423
Add        41713     424
Add        40582     425
Add        39787     426
Add        38240     427
Add        33303     428
Remove     45833     429
Add        46447     430
Add        26595     431
Contains   147       431
Add        30876     432
Add        21970     433
Add        16878     434
Remove     4788      435
Contains   235       435
Contains   22822     436
Add        19518     437
Remove     30103     438
Add        29059     439
Add        9647      440
Add        39417     441
Add        37726     442
Add        11050     443
Contains   355       443
Add        19571     443
Add        20635     444
Add        29666     445
Add        2189      446
Add        39924     447
Add        36682     448
Add        24437     449
Add        14911     450
Add        2383      451
Add        45426     452
Add        48719     453
Add        39442     454
Contains   317       454
Add        41361     455
Add        45163     455
Add        41628     456
Add        36731     457
Add        1731      458
Contains   42363     459
Contains   280       459
Contains   21625     460
Add        7663      461
Add        33785     462
Contains   165       462
Add        41844     463
Add        294       464
Add        37695     465
Add        7963      466
Add        47318     467
Add        22151     468
Contains   14        468
Add        29198     469
Contains   23240     470
Add        140       471
Add        8328      472
Add        39624     473
Add        14792     474
Contains   34438     475
Contains   15787     476
Contains   4386      477
Add        20563     478
Add        38806     479
Add        44226     480
Add        10626     481
