Operation Operand   Result
Add        187       1
Add        121       2
Add        62        3
Add        166       4
Add        35        5
Add        43        6
Add        41        7
Add        7         8
Contains   5         8
Contains   5         8
Add        41        8
Add        113       9
Contains   5         9
Add        52        10
Add        59        11
Add        97        12
Add        68        13
Contains   3         13
Add        137       14
Contains   121       15
Add        99        16
Add        58        17
Contains   12        17
Add        121       17
Add        84        18
Contains   58        19
Contains   187       20
Add        187       20
Add        138       21
Add        53        22
Add        131       23
Contains   138       24
Contains   11        24
Add        50        25
Remove     187       26
Add        172       27
Contains   84        28
Add        192       29
Remove     41        30
Add        33        31
Add        50        31
Add        195       32
Add        82        33
Add        137       33
Contains   35        34
Contains   99        35
Remove     35        36
Remove     62        37
Contains   0         37
Add        174       38
Add        14        39
Contains   31        39
Add        26        40
Add        41        41
Add        127       42
Add        130       43
Add        77        44
Contains   33        45
Contains   19        45
Add        7         45
Add        49        46
Add        74        47
Add        115       48
Add        176       49
Add        160       50
Add        0         51
Remove     137       52
Contains   113       53
Add        183       54
Add        45        55
Add        87        56
Add        50        56
Add        166       56
Add        96        57
Add        104       58
Contains   0         59
Add        38        60
Add        86        61
Add        70        62
Add        109       63
Contains   130       64
Add        95        65
Add        94        66
Contains   41        67
Add        145       68
Add        182       69
Add        32        70
Remove     176       71
Add        22        72
Add        1         73
Add        123       74
Add        57        75
Add        181       76
Contains   137       76
Add        21        77
Add        98        78
Add        155       79
Add        104       79
Add        41        79
Add        49        79
Add        40        80
Contains   130       81
Add        172       81
Add        18        82
Contains   41        83
Add        140       84
Add        75        85
Add        124       86
Add        130       86
Add        85        87
Add        179       88
Add        56        89
Remove     50        90
Remove     94        91
Add        11        92
Add        6         93
Add        132       94
Add        162       95
Add        49        95
Add        169       96
Add        108       97
Remove     56        98
Add        72        99
Remove     113       100
Add        55        101
Add        4         102
Contains   1         103
Add        102       104
Add        70        104
Add        41        104
Add        139       105
Add        144       106
Contains   85        107
Add        116       108
Add        168       109
Add        101       110
Add        22        110
Add        194       111
Contains   40        112
Contains   97        113
Contains   52        114
Add        61        115
Add        111       116
Add        77        116
Add        30        117
Add        124       117
Add        168       117
Add        4         117
Add        195       117
Add        103       118
Contains   7         119
Add        41        119
Add        130       119
Add        149       120
Contains   91        120
Contains   130       121
Add        163       122
Add        193       123
Add        30        123
Add        84        123
Contains   99        124
Add        189       125
Contains   105       125
Contains   30        126
Add        134       127
Add        138       127
Add        147       128
Contains   137       128
Add        2         129
Add        42        130
Contains   33        131
Add        167       132
Contains   121       133
Add        190       134
Contains   39        134
Add        28        135
Add        93        136
Add        12        137
Add        107       138
Contains   30        139
Contains   21        140
Add        42        140
Add        102       140
Add        33        140
Add        43        140
Add        49        140
Add        175       141
Add        33        141
Add        184       142
Add        35        143
Add        151       144
Add        125       145
Add        100       146
Add        94        147
Add        86        147
Add        128       148
Add        84        148
Add        46        149
Add        31        150
Add        199       151
Add        139       151
Add        53        151
HashSet result: 151
HashSet size: 104
Time: 29 msec.
Memory: 2 MB / 117 MB.
