Operation Operand   Result
Add        61240     1
Add        48252     2
Add        6329      3
Add        55607     4
Add        81411     5
Add        25235     6
Add        81983     7
Add        28977     8
Add        3746      9
Add        71678     10
Add        62896     11
Add        36022     12
Add        66295     13
Add        95727     14
Add        44302     15
Add        24391     16
Add        35883     17
Add        67726     18
Add        31324     19
Add        76989     20
Add        67139     21
Add        84831     22
Add        32924     23
Add        48438     24
Add        46243     25
Add        67138     26
Add        26994     27
Add        60033     28
Add        28429     29
Add        98677     30
Add        53518     31
Add        31082     32
Add        30316     33
Add        53610     34
Add        64794     35
Add        30522     36
Add        73632     37
Add        26847     38
Add        43338     39
Add        76216     40
Add        43690     41
Add        43045     42
Add        95346     43
Add        2893      44
Add        55976     45
Add        96397     46
Add        40840     47
Add        54082     48
Add        32059     49
Add        54552     50
Add        22465     51
Add        24731     52
Add        93616     53
Add        77819     54
Add        81615     55
Add        57300     56
Add        90305     57
Add        39363     58
Add        33074     59
Add        55346     60
Add        59677     61
Add        96282     62
Add        74058     63
Add        5433      64
Add        27848     65
Add        98529     66
Add        90833     67
Add        95787     68
Add        46989     69
Add        9066      70
Add        45241     71
Add        65685     72
Add        90490     73
Add        38640     74
Add        17048     75
Add        12200     76
Add        88551     77
Add        53668     78
Add        41743     79
Add        41606     80
Add        98045     81
Add        12136     82
Add        95138     83
Add        67820     84
Add        80301     85
Add        30617     86
Add        41097     87
Add        49235     88
Add        71054     89
Add        92614     90
Add        78891     91
Add        53734     92
Add        42885     93
Add        80646     94
Add        79349     95
Add        1598      96
Add        13931     97
Add        42822     98
Add        61043     99
Add        28632     100
Add        93014     101
Add        51564     102
Add        10613     103
Add        30057     104
Add        58732     105
Add        86491     106
Add        75187     107
Add        17893     108
Add        19753     109
Add        54660     110
Add        46462     111
Add        23621     112
Add        37979     113
Add        87791     114
Add        22057     115
Add        51120     116
Add        83557     117
Add        61096     118
Add        21029     119
Add        50072     120
Add        25444     121
Add        38921     122
Add        34585     123
Add        38876     124
Add        86605     125
Add        68725     126
Add        95660     127
Add        96890     128
Add        13099     129
Add        3811      130
Add        24402     131
Add        51309     132
Add        36921     133
Add        61277     134
Add        5888      135
Add        9138      136
Add        2538      137
Add        96451     138
Add        90387     139
Add        3012      140
Add        64136     141
Add        1646      142
Add        47614     143
Add        19138     144
Add        16385     145
Add        44932     146
Add        61268     147
Add        84262     148
Add        48806     149
Add        568       150
Add        22173     151
Add        62226     152
Add        77218     153
Add        95022     154
Add        32603     155
Add        13173     156
Add        61132     157
Add        93645     158
Add        3131      159
Add        10085     160
Add        99642     161
Add        97734     162
Add        27539     163
Add        18700     164
Add        87304     165
Add        25572     166
Add        59416     167
Add        99771     168
Add        22561     169
Add        17675     170
Add        55944     171
Add        98055     172
Add        57799     173
Add        40081     174
Add        5617      175
Add        97581     176
Add        29902     177
Add        47377     178
Add        78500     179
Add        23569     180
Add        79690     181
Add        14265     182
Add        42107     183
Add        34511     184
Add        65001     185
Add        31350     186
Add        8654      187
Add        74609     188
Add        71430     189
Add        72479     190
